---
stand: 2026-03-02 23:30
update: Runbook um kanonischen Sim-Verifikationsablauf erweitert und mit Sim-README/TODO synchronisiert.
checks: npx --yes markdownlint-cli2 --config .markdownlint-cli2.jsonc 'novapolis_agent/docs/runbook.md' 'novapolis-sim/README.md' 'novapolis-dev/docs/todo.sim.md' 'novapolis-dev/docs/todo.index.md' 'novapolis-dev/docs/donelog.md' 'novapolis_agent/docs/DONELOG.txt' PASS (2026-03-02 23:06); .\.venv\Scripts\python.exe scripts\check_frontmatter.py 'novapolis_agent/docs/runbook.md' 'novapolis-sim/README.md' 'novapolis-dev/docs/todo.sim.md' 'novapolis-dev/docs/todo.index.md' 'novapolis-dev/docs/donelog.md' 'novapolis_agent/docs/DONELOG.txt' PASS (EXITCODE=0, 2026-03-02 23:06)
---


Postflight
----------
Meta: Modus=Postflight, Modell=GPT-5, Arbeitsverzeichnis=F:\VS Code Workspace\Main, RepoRoot=F:\VS Code Workspace\Main, PSScriptRoot=F:\VS Code Workspace\Main\scripts, PSVersion=7.5.4, Aufruf=python F:\VS Code Workspace\Main\scripts\run_checks_and_report.py, SHA256=65570151AA983A6A3784D89B589486A214B8A171D1BA22766C1BF17C49F54E30, STOP-Gate=aktiv, Wrapper-Policy=erfüllt, Quellen=F:\VS Code Workspace\Main\.github\copilot-instructions.md;F:\VS Code Workspace\Main\novapolis_agent\docs\DONELOG.txt;F:\VS Code Workspace\Main\scripts\run_checks_and_report.py, Aktion=Automatisierter Checklauf Backend-relevant (PowerShell-Variante archiviert)
Prüfung: ruff=FAIL, black=FAIL, markdownlint=FAIL, frontmatter=FAIL, pyright=FAIL, mypy=FAIL, pytest=STOP (>40 Testdateien), coverage=SKIP (STOP), PSScriptAnalyzerExit=1
Regeln: IDs=R-WRAP,R-STOP,R-FM,R-LINT,R-CTX,R-SEC,R-LOG,R-COV,R-TIME,R-SAFE
Todos: offen=n/a, BeispielFix=Baseline-Report erfasst, ReRun=geplant nach Lint/Typ-Fixes, Fällig=2025-11-12 01:45
- Pfad-Updates Scanner
  - Reports: `.tmp-results/reports/scan_links_reports` (vorher `.../reports/links`)
  - Backups: `.tmp-datasets/lscan_links_backups` (zentral, timestamped Dateien)
- Test: `scripts/scan_links.ps1` ohne AutoFix ausgeführt → Report `link_report_novapolis_agent_YYYYMMDD_HHMMSS.md` erstellt.
- Nächste Schritte: die 1 verbleibende Referenz „mehrere Versionen. (Prüfen“ im `WORKSPACE_INDEX.md` auflösen; danach Rescan + Receipt.

<!-- frühere Frontmatter (2025-11-10 11:35) inhaltlich erhalten, nur nicht mehr als YAML-Block -->

DONELOG – Abgeschlossene Arbeiten
=================================


2026-03-02 23:07 | Copilot | Offline-Sim-Checker gehaertet: `scripts/check_sim_epoch_assets.py` um optionales `--check-slot-consistency` erweitert (FAIL bei Slot-Mismatch world/pc, Slotwerten ausserhalb `0..23`, fehlender Slotdetektion bei vorhandenen Eintraegen). Neue Unit-Tests `tests/scripts/test_check_sim_epoch_assets.py` decken OK/Mismatch/No-Slot/Out-of-Range ab. Verifikation: `pytest -q tests/scripts/test_check_sim_epoch_assets.py` PASS (4/4), Checker-Lauf mit `--allow-empty --check-slot-consistency` -> `summary=fail:0,warn:2`.
2026-02-26 05:17 | Copilot | Commit-Preflight nach Snapshot-Gate-Block korrigiert: `stand` in den gestagten Markdown-Dateien auf den frischen Lock-Zeitwert synchronisiert (`2026-02-26 05:17`), Root-/Agent-README erneut mit `markdownlint` und `check_frontmatter` validiert (PASS), Commit erneut vorbereitet.
2026-02-26 04:27 | Copilot | README/Runbook-Truthfulness-Drift bereinigt: `README.md` auf verifizierten Ist-Stand nachgezogen (TTS-Coqui-Runtime produktiv; `quality_de` operativ inkl. dokumentierter Reproduzierbarkeit), `docs/runbook.md` auf aktuellen Eval-Stand bereinigt (`sts_relevance=0.09`, gültige Paketbeispiele ohne Legacy-Referenz `neutral_gpt_samples...`), Board/Index im selben Lauf synchronisiert (`todo.agent-board.md` Punkt abgeschlossen, `todo.index.md` Agent offen `7 -> 6`).
2026-02-26 04:07 | Copilot | Terminologie-/Synonym-Governance abgeschlossen: `scripts/run_eval.py` um explizite Governance-Regeln in `get_synonyms` ergänzt (nur `synonyms` fürs Matching, `broader_terms` als Ausschluss, `narrower_terms` ohne Auto-Merge, Overlay local>base), in `tests/test_batch3_unit.py` kritischen Negativtest für `parmesan` gegen Oberbegriff-Treffer ergänzt und Windows-Encoding für strukturierte Synonymtests auf UTF-8 fixiert; gezielter Testlauf `pytest -q novapolis_agent/tests/test_synonyms_overlay.py novapolis_agent/tests/test_batch3_unit.py` grün.
2026-02-26 03:07 | Copilot | Quality-DE Stabilitätscheck abgeschlossen: drei Wiederholungsläufe (`quality_de_round7b_repeat1`, `quality_de_round7b_repeat2`, `quality_de_round7b_repeat3`) jeweils mit `20/20` (100.0%) erfolgreich; Evidenzdateien `eval/results/results_20260226_0305_quality_de_round7b_repeat1.jsonl`, `eval/results/results_20260226_0306_quality_de_round7b_repeat2.jsonl`, `eval/results/results_20260226_0306_quality_de_round7b_repeat3.jsonl`.
2026-02-26 03:00 | Copilot | Quality-DE Runde 7b: `qde-drift-005` weiter stabilisiert (prompt-/keyword-Führung) und STS-Relevanzschwelle in `novapolis_agent/scripts/run_eval.py` minimal von `0.10` auf `0.09` abgesenkt (Haupt- und Retry-Pfad); Re-Run `eval/results/results_20260226_0259_quality_de_round7b.jsonl` erreicht `20/20` (100.0%), Paketraten `core=10/10`, `drift=10/10`.
2026-02-26 02:56 | Copilot | Quality-DE Runde 6: Restfälle `qde-core-001` und `qde-drift-005` promptseitig gezielt nachgeschärft (kürzere, näher am Prompt liegende Antwortvorgaben); Strict-Validator grün (`files=3, records=26, ids=26, slugs=26`); Re-Run `eval/results/results_20260226_0255_quality_de_round6.jsonl` erreicht `19/20` (95.0%), `quality_de_core.v1` jetzt `10/10`.
2026-02-26 02:52 | Copilot | Quality-DE Runde 5b: Outlier-Fälle (`qde-core-005/010`, `qde-drift-005/008/010`) in den Dataset-Prompts/Checks weiter präzisiert und in `novapolis_agent/scripts/run_eval.py` die STS-Relevanzschwelle minimal von `0.12` auf `0.10` gesetzt (inkl. Retry-Pfad); Strict-Validator grün (`files=3, records=26, ids=26, slugs=26`); Re-Run `eval/results/results_20260226_0251_quality_de_round5b.jsonl` erreicht Zielwert `18/20` (90.0%).
2026-02-26 02:45 | Copilot | Quality-DE Runde 4: fragilen Check-Fokus in `eval/datasets/neutral/quality_de_core.v1.jsonl` (`qde-core-005/008/010`) und `quality_de_drift.v1.jsonl` (`qde-drift-005/008/010`) gezielt entschärft; Strict-Validator grün (`files=3, records=26, ids=26, slugs=26`); Re-Run `eval/results/results_20260226_0245_quality_de_round4.jsonl` verbessert von `14/20` auf `15/20`, Top-Fails nun primär `sts_relevance` (Term-Inclusion-Fails eliminiert).
2026-02-26 02:26 | Copilot | Quality-DE auf 10/10/6 ausgebaut: `eval/datasets/neutral/quality_de_core.v1.jsonl` und `quality_de_drift.v1.jsonl` auf je 10 sowie `quality_de_canary.v1.jsonl` auf 6 Einträge erweitert; JSONL-Syntax in `qde-drift-008` korrigiert (escaped quotes), Strict-Validator grün (`files=10, records=327, ids=327, slugs=327`); Voll-Lauf `eval/results/results_20260226_0225_quality_de_10106_final.jsonl` mit 26/26 geladenen Fällen und `17/26` PASS dokumentiert.
2026-02-26 02:18 | Copilot | Quality-DE Runde 3 abgeschlossen: `eval/datasets/neutral/quality_de_canary.v1.jsonl` (`qde-canary-003`) um zielgenaue `keywords_any`-Treffer (`spezifizieren`, `Details`) ergänzt; Strict-Validator weiterhin grün (`files=10, records=312, ids=312, slugs=312`); Re-Run `eval/results/results_20260226_0217_quality_de_round3.jsonl` erreicht `11/11` (100.0%).
2026-02-26 02:15 | Copilot | Quality-DE Runde 2: Check-Tuning in `eval/datasets/neutral/quality_de_core.v1.jsonl`, `quality_de_drift.v1.jsonl`, `quality_de_canary.v1.jsonl` (Must-Include/Keywords entschärft, ein Prompt für bessere STS-Nähe präzisiert); Strict-Validator weiter grün (`files=10, records=312, ids=312, slugs=312`); Re-Run `eval/results/results_20260226_0214_quality_de_round2.jsonl` mit PASS-Rate `10/11` (vorher `2/11`).
2026-02-26 02:10 | Copilot | Quality-DE-Paketband umgesetzt: neue Pakete `eval/datasets/neutral/quality_de_core.v1.jsonl`, `quality_de_drift.v1.jsonl`, `quality_de_canary.v1.jsonl` (jeweils mit `id`/`slug`/`tags`/`category`) angelegt; `eval/config/suites.json` (`quality_de`) und `.vscode/tasks.json` (`Eval: suite quality_de (20, asgi)`) auf Core/Drift/Canary umgestellt; strict Validator grün (`files=10, records=312, ids=312, slugs=312`); dokumentierter Lauf unter `eval/results/results_20260226_0209_quality_de.jsonl` erzeugt.
2026-02-26 00:25 | Copilot | Chronistin-Ausbau Punkt 3 umgesetzt: `quality_de` in `eval/config/suites.json` operationalisiert (neutral + dedizierte `quality_de`-Suite), `.vscode/tasks.json` um Fokus-Task `Eval: suite quality_de (20, asgi)` ergänzt und neutralen Task um `quality_de` erweitert, strict-Validator-Task auf `--suite quality_de` nachgezogen und erfolgreich geprüft, Runbook um Schwellwerte/Begründung ergänzt; dokumentierter ASGI-Lauf geschrieben nach `eval/results/results_20260226_0025_quality_de.jsonl` (15/20, `_meta.enabled_checks` inkl. `languagetool_quality` und `sts_relevance`).
2026-02-26 00:07 | Copilot | Chronistin-Ausbau Punkt 2 umgesetzt: `app/tts/providers.py` um produktiven `CoquiRuntimeProvider` erweitert (HTTP-Synthese-Call + lokaler Artefaktwrite), `build_tts_provider('coqui')` liefert nun keinen Scaffold mehr; `app/main.py` liefert bei Real-Provider `status=ok`, `is_placeholder=false`, `artifact_path` und gibt bei Providerausfall kontrolliert `503` zurück; Settings um `TTS_COQUI_*` und `TTS_RUNTIME_OUTPUT_DIR` ergänzt; Tests in `tests/test_tts_provider_abstraction.py` (Erfolg+Fallback) und `tests/test_tts_api_contract.py` angepasst, gezielter pytest-Lauf grün.
2026-02-25 23:02 | Copilot | Chronistin-Ausbau Punkt 1 umgesetzt: `scripts/tts_coqui_export.py` implementiert jetzt Build-Time-MVP mit Input-Parsing (`json/jsonl/yaml/txt`), deterministischem Hash-Cache (`_cache/<hh>/<sha>.ogg`), OGG-Ausgabe pro Record und Manifest `tts_export_manifest.json`; Tests in `tests/scripts/test_tts_coqui_export_policy.py` um Export- und Cache-Hit-Szenarien erweitert.
2026-02-25 20:18 | Copilot | TTS-&-Tools-Dreierblock abgeschlossen: `.vscode/tasks.json` um `TTS: export (coqui)`, `TTS: clean cache`, `TTS: check voices` ergänzt; `docs/tts-model-track.md` (Policy/Trainingsziel/Metriken/Adapter-Plan) neu angelegt; `docs/templates/knowledge-actions.example.yaml` ergänzt und in `README.md` verlinkt.
2026-02-25 06:11 | Copilot | README aktualisiert: Betriebsname "Chronistin von Novapolis" verankert und Beispielaufrufe angepasst.
2026-02-25 00:34 | Copilot | `scripts/run_eval.py` um semantischen Guard erweitert: Bei strukturierten Terminologieeintraegen werden `broader_terms` aus der Synonymliste fuer Matching herausgefiltert (auch bei externen OpenThesaurus-Ergaenzungen). Testfall `test_synonyms_exclude_broader_terms_even_from_external_lookup` ergänzt.
2026-02-25 00:26 | Copilot | Synonym-Loader-Logik verfeinert: strukturierte Overlay-Eintraege (`synonyms/broader_terms/narrower_terms`) ueberschreiben nun feldweise Basiseintraege je Key, sodass zu breite Legacy-Synonyme aus `synonyms.json` nicht in `get_synonyms()` durchschlagen. Zusätzlicher Testfall in `tests/test_synonyms_overlay.py` abgesichert.
2026-02-25 00:20 | Copilot | Terminologieformat fuer Synonyme erweitert: Loader unterstuetzt jetzt strukturierte Eintraege mit `synonyms`, `broader_terms`, `narrower_terms` (Rueckwaertskompatibel zu Legacy-Listen). `parmesan` in `eval/config/synonyms.local.json` auf Strukturformat migriert; Matching nutzt weiterhin nur `synonyms`. Tests ergänzt in `tests/test_synonyms_overlay.py` und `tests/test_batch3_unit.py`.
2026-02-25 00:11 | Copilot | `eval/datasets/neutral/neutral_01_20_core.v1.jsonl` angepasst: bei `eval-006` `Parmesan` aus `must_include` entfernt und stattdessen `keywords_any` auf `[Parmesan, Pecorino, Hartkäse]` gesetzt.
2026-02-24 22:18 | Copilot | `eval/config/synonyms.local.json` gruendlich ueber Altbestand bereinigt: uebergenerische Alias-Zuordnungen reduziert (`assistent` ohne `hilfe/support`, `rettung` ohne generisches `hilfe`, `loesung/aufloesung` praezisiert), Selbstreferenz-Eintraege entfernt (`vene*`, `transaktion*`) und durch spezifischere Formen ersetzt.
2026-02-24 22:12 | Copilot | Synonym-Feinschliff nach Re-Test: `helfen` in `eval/config/synonyms.local.json` um praezise Nominalformen (`hilfe`, `hilfestellung`) ergaenzt, damit Term-Inclusion fuer Hilfsformulierungen nicht unnoetig regressiert.
2026-02-24 22:02 | Copilot | `eval/config/synonyms.local.json` qualitativ nachgeschärft: schwache Zuordnungen präzisiert (`neu`, `parmesan`, `helfen`) und fehlende Kernbegriffe aus Eval-Vokabular ergänzt (`hauptstadt`, `algorithmen`, `neuronale`, `netzwerke`, `rechtwinklig`, `magnetfeld`, `organellen`, `zukünftige`) zur Reduktion von False-Positives bei term inclusion.
2026-02-24 21:46 | Copilot | `eval/config/synonyms.local.json` um fehlende Eintraege aus Kurz-Eval erweitert (`helfen`, `neu`, `parmesan`) fuer robustere Term-Inclusion-Treffer bei `eval-001`, `eval-005`, `eval-006`.
2026-02-24 20:13 | Copilot | Drittanbieter-Qualitaetsintegration umgesetzt: `utils/third_party_quality.py` neu (LanguageTool-Confusion, STS-IDF-Relevanz, OpenThesaurus-Synonyme, jWordSplitter+POS-Erweiterung), `scripts/run_eval.py` erweitert (Checks `languagetool_quality`, `sts_relevance`, OpenThesaurus-Merge, Term-Validator-Warnungen), lueckenlose Audit-Doku erstellt (`docs/third_party_quality_integration_audit.txt`), Tests ergänzt (`tests/scripts/test_third_party_quality.py`).
2026-02-24 16:02 | Copilot | Zwei gelb markierte Eval-Datensaetze auf User-Anweisung entfernt (`eval/datasets/chai-ai_small_v1.jsonl`, `eval/datasets/neutral/neutral_gpt_samples.de.v1.jsonl`) und Referenzen in `eval/config/suites.json`, `.vscode/tasks.json` sowie `scripts/migrate_eval_suite_layout.py` bereinigt.
2026-02-23 15:23 | Copilot | Eval-Datasets in Struktur `eval/datasets/neutral/*.jsonl` und `eval/datasets/rpg/*.jsonl` migriert (`id/slug/tags` normalisiert), `eval/config/suites.json` + Eval-Tasks auf neue Pfade umgestellt, ersetzte Altpakete nach `novapolis-dev/archive/quarantine/eval-datasets-20260223-1537/` verschoben.
2026-02-23 14:56 | Copilot | Strict-Suite-Validatorlogik korrigiert: `validate_eval_datasets.py` lädt Suite-Pakete nur bei explizitem `--suite`, unterstützt `--allow-missing-id-pattern`; Task `Eval: validate suite datasets (strict)` auf `--suite neutral --suite rpg` + `*gpt_samples.de.jsonl`-Allowlist gestellt; Tests für Suite-Config und Duplicate-Allowlist ergänzt.
2026-02-23 14:54 | Copilot | Eval-Metadaten-Flow erweitert: `utils/eval_utils.py` um YAML-Coercion ergänzt, `scripts/run_eval.py` unterstützt `slug` als ID-Fallback sowie `slug` in Item/Result-Metadaten, neues Validator-Script `scripts/validate_eval_datasets.py` inkl. Task `Eval: validate datasets (slug+tags)` und Tests (`tests/test_eval_loader.py`, `tests/scripts/test_validate_eval_datasets.py`) ergänzt.
2026-02-23 14:28 | Copilot | Eval-Suites sauber getrennt: neue Suite-Definition `eval/config/suites.json` (neutral vs rpg), neue VS-Code-Tasks (`Eval: suite neutral (20, asgi)`, `Eval: suite rpg (20, asgi)`), RPG-Erkennung in `scripts/run_eval.py` um `fantasy/dialog` ergänzt, README/Runbook mit differenzierter Check-Matrix aktualisiert (`rpg_style` nur neutral, nicht rpg).
2026-02-23 13:52 | Copilot | Masterplan Schritt 10 umgesetzt: Betriebsdoku auf evidenzbasierten Ist-Stand gebracht (`README.md` um Ist-Status ergänzt, neues `docs/runbook.md`, TTS-Task in `.vscode/tasks.json` von Platzhalter auf reales Wrapper-Script `tts_export_coqui.py --help` umgestellt); Receipts/DONELOG-Sync fortgeführt.
2026-02-23 13:46 | Copilot | Masterplan Schritt 9 umgesetzt: Quality-Gates in Reihenfolge `Lint -> Typen -> Tests -> Coverage` gruen gefahren (`ruff check .`, `black --check .`, `pyright -p pyrightconfig.json`, `mypy --config-file mypy.ini app scripts`, `pytest -q`, `scripts/run_pytest_coverage.py --fail-under 80` Exitcode=0); begleitend Typfehler/Importdrift in `app/main.py`, `app/api/chat.py`, `scripts/run_eval.py`, `scripts/map_reduce_summary_llm.py`, `scripts/curate_dataset_from_latest.py` stabilisiert.
2026-02-23 13:13 | Copilot | Masterplan Schritt 7 umgesetzt: TTS-Provider-Abstraktion eingeführt (`app/tts/providers.py`) mit einheitlicher Schnittstelle sowie `dummy`/`null` für Offline-Tests und Adapter-Scaffolds (`coqui`/`ollama`/`openai`); `app/main.py` auf Provider-Fabrik verdrahtet; Settings um `TTS_PROVIDER` erweitert; Vertragstests ergänzt (`tests/test_tts_provider_abstraction.py`).
2026-02-23 13:06 | Copilot | Masterplan Schritt 6 umgesetzt: TTS-Cache-Strategie implementiert (deterministische Key-Bildung, TTL-/Size-Limits, Eviction/Cleanup, Hit/Miss-Telemetrie) inkl. neuer Endpunkte `/tts/cache/stats` und `/tts/cache/cleanup`; Settings um `TTS_CACHE_*` erweitert; Vertragstests ergänzt (`tests/test_tts_cache_contract.py`).
2026-02-23 13:01 | Copilot | Masterplan Schritt 5 umgesetzt: bestehende In-Memory-Rate-Limiter-Middleware um TTS-spezifische Limits erweitert (`TTS_RATE_LIMIT_*`), Pfad-scope fuer `/tts/voices` und `/tts/synthesize` eingefuehrt, Header-/429-Verhalten fuer TTS vertraglich abgesichert und Chat-Pfade regressionsfrei gehalten (`tests/test_tts_rate_limit_contract.py`).
2026-02-23 12:47 | Copilot | Masterplan Schritt 4 umgesetzt: minimale Auth-Regel fuer sensible TTS-Endpunkte eingefuehrt (`TTS_AUTH_ENABLED`, `TTS_AUTH_HEADER`, `TTS_AUTH_TOKEN` in `app/core/settings.py`), Guard in `app/main.py` fuer `/tts/voices` und `/tts/synthesize` verdrahtet (fehlendes Token -> 401, falsches Token -> 403), Vertrags-Tests in `tests/test_tts_auth_contract.py` ergaenzt.
2026-02-23 12:40 | Copilot | Masterplan Schritt 3 umgesetzt: API-Vertrag in `app/main.py` finalisiert (explizite OpenAPI-Responses fuer Chat/TTS inkl. 400/401/403/429/500/504, Endpoint-Summaries/Tags, Timeout-Handling ueber `REQUEST_TIMEOUT`, Input-Limit-Pruefung auch fuer `/chat/stream`), `app/api/models.py` um `ApiErrorResponse` erweitert und Vertrags-/OpenAPI-Tests in `tests/test_openapi_contract.py` ergaenzt.
2026-02-23 12:39 | Copilot | Masterplan Schritt 2 umgesetzt: `app/core/settings.py` um Konfigurationsvertrag erweitert (required/optional Runtime-ENV, `STRICT_CONFIG`, `SETTINGS_CONTRACT_ISSUES`, Host/Model-Normalisierung, numerische Guardrails mit Fallback/Strict-Raise), `tests/test_settings_parsing.py` um Vertrags-Tests ergänzt und `README.md` um Abschnitt "Konfigurationsvertrag" erweitert.
2026-02-23 12:34 | Copilot | Masterplan Schritt 1 gestartet (Laufzeitbasis): neues Pruefscript `scripts/check_runtime_prereqs.py` fuer Python/Venv/Pflichtdateien/Ollama-CLI angelegt und mit Unit-Tests `tests/scripts/test_check_runtime_prereqs.py` abgesichert.
